100-та	сота
100-те	соте
100-й	сотий
100-м	сотим
100-ми	сотими
100-х	сотих
100-го	сотого
100-му	сотому
100-ю	сотою
100-ї	сотої
100-ту	соту
100-ті	соті
100-й	сотій
100-м	сотім
200-й	двохсотий
200-та	двохсота
200-те	двохсоте
200-ті	двохсоті
200-го	двохсотого
200-ї	двохсотої
200-х	двохсотих
200-му	двохсотому
200-й	двохсотій
200-м	двохсотим
200-ту	двохсоту
200-ю	двохсотою
200-ми	двохсотими
200-м	двохсотім
300-й	трьохсотий
300-та	трьохсота
300-те	трьохсоте
300-ті	трьохсоті
300-го	трьохсотого
300-ї	трьохсотої
300-х	трьохсотих
300-му	трьохсотому
300-й	трьохсотій
300-м	трьохсотим
300-ту	трьохсоту
300-ю	трьохсотою
300-ми	трьохсотими
300-м	трьохсотім
400-й	чотирьохсотий
400-та	чотирьохсота
400-те	чотирьохсоте
400-ті	чотирьохсоті
400-го	чотирьохсотого
400-ї	чотирьохсотої
400-х	чотирьохсотих
400-му	чотирьохсотому
400-й	чотирьохсотій
400-м	чотирьохсотим
400-ту	чотирьохсоту
400-ю	чотирьохсотою
400-ми	чотирьохсотими
400-м	чотирьохсотім
500-й	п'ятисотий
500-та	п'ятисота
500-те	п'ятисоте
500-ті	п'ятисоті
500-го	п'ятисотого
500-ї	п'ятисотої
500-х	п'ятисотих
500-му	п'ятисотому
500-й	п'ятисотій
500-м	п'ятисотим
500-ту	п'ятисоту
500-ю	п'ятисотою
500-ми	п'ятисотими
500-м	п'ятисотім
600-й	шестисотий
600-та	шестисота
600-те	шестисоте
600-ті	шестисоті
600-го	шестисотого
600-ї	шестисотої
600-х	шестисотих
600-му	шестисотому
600-й	шестисотій
600-м	шестисотим
600-ту	шестисоту
600-ю	шестисотою
600-ми	шестисотими
600-м	шестисотім
700-й	семисотий
700-та	семисота
700-те	семисоте
700-ті	семисоті
700-го	семисотого
700-ї	семисотої
700-х	семисотих
700-му	семисотому
700-й	семисотій
700-м	семисотим
700-ту	семисоту
700-ю	семисотою
700-ми	семисотими
700-м	семисотім
800-й	восьмисотий
800-та	восьмисота
800-те	восьмисоте
800-ті	восьмисоті
800-го	восьмисотого
800-ї	восьмисотої
800-х	восьмисотих
800-му	восьмисотому
800-й	восьмисотій
800-м	восьмисотим
800-ту	восьмисоту
800-ю	восьмисотою
800-ми	восьмисотими
800-м	восьмисотім
900-й	дев'ятисотий
900-та	дев'ятисота
900-те	дев'ятисоте
900-ті	дев'ятисоті
900-го	дев'ятисотого
900-ї	дев'ятисотої
900-х	дев'ятисотих
900-му	дев'ятисотому
900-й	дев'ятисотій
900-м	дев'ятисотим
900-ту	дев'ятисоту
900-ю	дев'ятисотою
900-ми	дев'ятисотими
900-м	дев'ятисотім